content,score
"Não reconhece ruas do meu bairro, fiquei decepcionado com o app.",ruim
"Horrível complicado pesado, um ano pra baixar os mapas",ruim
O aplicativo continua fechando sozinho,ruim
"Nunca acha nada,fica perdido sempre. Desinstalando 😕☹️👎🏻👎🏻",ruim
Não gps não é gratuito tem que pagar 95.00 para baixar os mapas,ruim
Falta a opção de resgatar a assinatura após reinstalar o app,ruim
Não encontra endereço solicitado. O que outros aplicativos consegue.,ruim
Péssimo app nem o nome da minha rua tem e esta errado esta com outro nome não gostei,ruim
Péssimo. Não define a partida. Confuso.,ruim
"Eu jogo um endereço, mesmo com os dados móveis ligado ,manda pra outros lugar 😔😪",ruim
Não reconhece ruas nas pesquisas.,ruim
"Desculpem ter dado duas estrelas. Fui teimar em usar piorou! Uma já é muito, depois dizem que não tem retaliação! Hoooo! Ok now entender ingrichi eu ser bruasilero né!",ruim
Não faz a busca pelo número do imóvel na via,ruim
fiz mais de 20 kms para chegar atrasado a 6 kms de distância... muito falível,ruim
primeiro desapareceu o mapa e hoje mandou-me dar uma volta três vezes maior que o necessário,ruim
De todos os aplicativos esse foi o pior de todos os outros. Horrível péssimo.,ruim
A pesquisa não funciona eficazmente .,ruim
não sabe para que lado vai posição fora,ruim
após atualização o APP está bugado,ruim
Muito ruim e confuso.,ruim
É bem lento..,ruim
"lixo, enganação só faz perder tempo",ruim
ruim muito ruim nao baixa..,ruim
Horrível. Muito bagunçado.,ruim
Apagaram todos os locais no mapa em natal,ruim
A seta vira-se para qualquer lado.,ruim
"É ruim,a minha primeira pesquisa já nem achou.",ruim
Até cheguei a achar bom até o dia que resolver descer pra caraguatatuba com ele me levando simplesmente ele fez eu perder a entrada na tamoios e tive que retornar e pagar 2 pedágio daí tirei na hora e usei o MAPS daí foi joia,ruim
"Cansei. Desinstalei, agora em definitivo. No meu celular (A03) não funciona.",ruim
Lixo você coloca o nome da rua e o app não acha ecaaaaaaa,ruim
Uma importante base de mapas num aplicativo que não gosta de... usuários!,ruim
"Não funciona no Brasil, me mandou 3 vezes entrar na contramão e não consegue achar o nome de nenhuma loja.",ruim
relatório,ruim
O aplicativo continua fechando sozinho,ruim
Fiz a assinatura e cancelei agora só dá erro já desinstalei e instalei e nada. Parece que não aceita voltar para o gratuito,ruim
"Comprei a versão paga, mas para baixar os mapas off-line demora tanto que nem baixa. Baixa 3Mb em 4 horas! Vocês deveriam implementar uma forma de baixar os mapas no PC e transferir para o smartphone.",ruim
"Se você apagar um mapa por engano, o aplicativo não permite baixar de novo na versão gratuita. Você é obrigado à pagar para baixar um mapa que já possuía antes.",ruim
"Nunca acha nada,fica perdido sempre. Desinstalando 😕☹️👎🏻👎🏻",ruim
muito difícil de mexer o mapa não fica no sentido certo a seta tem hora que fica pra baixo muito horrível,ruim
Orrivel,ruim
Não consegui fazer lo funcionar.... Muito confuso para usar...tentei várias vezes e ele não fazia o trajeto...,ruim
"Não funciona, não encontra minha posição, tenho que digitar meu endereço atual pra poder gerar uma rota",ruim
É bem lento..,ruim
Não gps não é gratuito tem que pagar 95.00 para baixar os mapas,ruim
Péssimo não recomendo 👺,ruim
"lixo, enganação só faz perder tempo",ruim
"Horrível complicado pesado, um ano pra baixar os mapas",ruim
não sabe para que lado vai posição fora,ruim
Ele é bom mais deixa a desejar fica saindo toda hora... as vezes atraso as entregas esperando ele reanimar,ruim
"Selecionei a opção em português e a aplicação dá as instruções na variante brasileira, e na navegação não satisfaz porque manda conduzir por uma direção e inverter a marcha numa linha contínua e em plena nacional, onde circula muito trânsito. Corrijam isso, pf. To developer: the selection of language is already done, that's why I know that didn't work correctly. Edit2: if U use OSMaps and U can't avoid drive inversion, so you have a bad app. It's not allowed do inversions when it's traffic in PT",ruim
Não encontra endereço solicitado. O que outros aplicativos consegue.,ruim
"0. Criasse uma rota e depois não se consegue segue ir buscá-la, aparece outra coisa.",ruim
"Nossa é uma droga, muito ruim de Navegar nele, muita poluição só tem um tipo de Rota curta ou rápida. A não recomendo",ruim
Me orientou um caminho errado,ruim
Eu instalei esse aplicativo aqui em Curitiba mas eles não está detectando os radares Então eu instalei esse aparelho aí de GPS e vocês me cobraram r$ 20 e o meu GPS não funciona aqui em Curitiba radares que foi instalado radar foi instalado o ano passado não funciona você pode você dá uma resposta dá uma resposta em português para que a gente fica por dentro[Support Team] Re: Eu adquiri este mapa e aqui em Curitiba e região ele não está mostrando os radares que já estão instalados desde o ano pa,ruim
lixo,ruim
Péssimo.,ruim
"O aplicativo fecha durante o uso, interrompendo a navegação.",ruim
"Não reconhece ruas do meu bairro, fiquei decepcionado com o app.",ruim
após atualização o APP está bugado,ruim
"Mal comecei a usar, e já desinstalei. Saindo da garagem de casa, primeira curva e já indicou o sentido errado, pois a rua é mão única. Na sequência, não conseguiu recalcular a rota...",ruim
Horrível. Muito bagunçado.,ruim
"GPS ruim, falhou muito nas minhas rotas, sem falar que no Android auto só pode usar poucas vezes, depois começa pedir pra comprar pra utilizar.",ruim
não funcionou,ruim
Se arrumar a pesquisa de endereço deixar mais preciso para achar as ruas igual no google maps eu usaria sem medo esse app mas infelizmente nao acha ruas simples com apenas nome e numero,ruim
"É ruim,a minha primeira pesquisa já nem achou.",ruim
É sério isso ???????????,ruim
"Eu jogo um endereço, mesmo com os dados móveis ligado ,manda pra outros lugar 😔😪",ruim
De todos os aplicativos esse foi o pior de todos os outros. Horrível péssimo.,ruim
"Really bad! I was considering get the paid version as i did read the reviews but when i tested it i noticed that it's very inaccurate, the map lacks a lot of details and updates in Belgium and Netherlands. The interface is also terrible, seems like it was made in the 90`s. It's one of the worse apps i ever tested....Not for me and if you want updated information not for you too.",ruim
A seta vira-se para qualquer lado.,ruim
Apagaram todos os locais no mapa em natal,ruim
fiz mais de 20 kms para chegar atrasado a 6 kms de distância... muito falível,ruim
primeiro desapareceu o mapa e hoje mandou-me dar uma volta três vezes maior que o necessário,ruim
"O que houve com o suporte de voz? Mostra: "" Não disponível para esta versão. "" Como assim? Utilizo especificamente para ouvir a rotas via Bluetooth, pois ando de moto. E agora? Adoro ao app mas perdeu absolutamente a serventia para mim.",ruim
MAPAS OFFLINE PÉSSIMOS ME MANDOU POR UM CAMINHO EXTREMAMENTE PERIGOSO UM LIXO,ruim
"Desculpem ter dado duas estrelas. Fui teimar em usar piorou! Uma já é muito, depois dizem que não tem retaliação! Hoooo! Ok now entender ingrichi eu ser bruasilero né!",ruim
"Antigamente funcionava nem, mas de uns tempos para cá está muito pesado e demorado para gerar as rotas, se comparado a concorrentes como o here wego. Esquenta muito o celular e trava com frequência. Galaxy A52s com Android 14. Outra questão é que a interface de entrada de destino parece defasada,pouco funcional. Infelizmente acho que vou acabar desistindo desse app.",ruim
"Não vale o preço, aplicativo muito limitado para se cobrar algo por isso, há diversos aplicativos gratuitos que funcionam melhor, única vantagem desse seria usar no Android auto, porém o período de teste é pequeno",ruim
"Quando usando no Android auto, poderia ter a sinalização de limite de velocidade da via assim como seus concorrentes nesse aspecto. Outras informações importantes são omitidas na tela do veículo. Infelizmente esses pontos para mim fazem muita falta. Ressalto que essa sinalização que faço é para o uso com o Android Auto.",ruim
"Não dá para usar de forma profissional, porque não aceita digitar o número do endereço e manda só para a rua, mas é promissor, daqui uns tempos instalo novamente para ver se corrigiram o app",ruim
"Comprei por pensar que seria melhor, mas somente encontrei um monte de bugs, principalmente com o Android Auto. Decepção total, não comprem.",ruim
"Confuso na imagem do mapa, e reverte para as cores originais mesmo depois de escolher outras. Indicações no quadro são razoáveis mas as do percurso são difíceis de percecionar no momento de conduzir. pesado para o telemóvel e na construção do próprio mapa",ruim
Bom mas muita coisa a melhorar. Falta melhorar muito a pesquisa. Essa não é nada intuitiva. Falta pgto com cartão de débito ou boleto. Faltam também muitas estradas de interior. Na pesquisa abaixo as perguntas não permitem chegar no centro da questão pois nenhuma resposta representa alguma verdade. Perguntas ruins. Só pra encher o ego do aplicativo.,ruim
O problema no aplicativo é a impossibilidade de escolher a rota. Diferente de outros que ao clicar no mapa a rota já é mudada para a escolhida. Também não há comando de voz.,ruim
I had to uninstall and unsubscribe. the radars do not work in any type of configuration in android head unit. (tive que desinstalar e cancelar a assinatura. os radares não funcionam em nenhum tipo de configuração na multimidia Android.),ruim
"Aplicativo muito limitado, você faz as pesquisas de endereço e o Aplicativo sugere outros endereços fora do seu destino, então deixou muito a desejar nesse quesito de buscas.",ruim
"Bastante funcionalidades. Mas não consigo baixar os mapas, o app fecha continuamente.",ruim
"Precisa aperfeiçoamento na localização e nomear as localidades. Pois não tem nomes de ruas e comparado a outros os nomes são diferentes. No meu caso e onde vivo. Teresina, Piauí.",ruim
Como faço pra ativar a notificação para radar. Já ativei no menu mais não funciona e não mostra os radares.,ruim
"Não da para ficar baixando mapas o tempo todo, e só se você quiser ou precisar é que deveríamos baixar os mapas. Seja online Full time e ganharão meu respeito e dedicação constantes.",ruim
"Mapa muito bom, mas precisa atualizar da cidade Santarém-Pará, ruas e lugares desatualizado",ruim
"Ultimamente não tem funcionado direito, trava e fecha o aplicativo.",ruim
Perde constantemente o sinal de GPS nunca consigo fazer uma viagem sem ter que parar várias vezes,ruim
"Bom serviço de mapas, só tem problema quando é instalado no cartão sd , fica bugado",ruim
"Acabei de baixar. O mapa de sp esta demorando uma eternidade pra baixar e estou usanso Wi-Fi. Testarei depois , se for bam msm , aumento as estrelas",ruim
"Bom, navegação simples,por voz não funçiona !",ruim
Poderia ser melhor se tivesse mais os RADARES de velocidade!,ruim
Carece baixar os mapas... Melhorem isso‼️,ruim
Não funcionou no meu celular,ruim
Péssimo de lento,ruim
Sem mapas híbridos,ruim
"After the last update, the route planning is unusable for me, the start and end icon clogger the whole map screen, there should be a option to deactivate them",ruim
"Nao gostei deste app porque ele muita das vezes nao acha ou demora de mais 
pra localizar as ruas Ele é muito ruim pra localizaçao atual tambem ,muitas 
das vezes ele nao acha ou demora de mais pra achar a posiçao atual e 
calcular a rota",ruim
Crasha bastantes vezes e quase sempre não funciona ...,ruim
O App travou várias vezes,ruim
"Em busca por endereço, tento inserir o número do local e não fixa o número.  Se melhorar dou mais estrelas.",ruim
Desatualizado,ruim
"A pesquisa de endereços poderia ser reduzida a um único campo. Lento a calcular rotas. Péssimo para rotas de longa distância. Instruções faladas em português muito más, diz-se ""rotunda"" e não ""rotatória""! No entanto tem alguns aspectos positivos, mas para já estou arrependido de ter gasto dinheiro nesta aplicação.",ruim
"Por usar mapas do OpenStreetMap, tem opções melhores.",ruim
Ainda vou experimentar...,ruim
Faltam ruas em minha cidade.,ruim
Ele e muito bom....estao de parabems!!!!!,ruim
"Seria o melhor se não fosse o irritante fato de aparecer pontos de interesse por padrão, não tendo como configurar, e nome de estabelecimentos se misturando com ruas.",ruim
NÃO GOSTEIII,ruim
"Aparentemente o app é bom, mas não consigo deixá-lo em português.",ruim
Vou testar se for bom eu mudo a avaliação....,ruim
Quebra um galho mas podia ter uma atualização mais eficiente,ruim
The countrys in shorts maps will be great,ruim
Como faz pra configurar muito dicifil,ruim
Renderização lenta mesmo em quadcore. Não procura por números de endereços.,ruim
Vamos ver  vou deixar baixando agora durante a noite e amanhã eu vejo como é. ...boa noiteee....,ruim
Não consigo encontrar a opção para inserir o destino... Obrigado,ruim
Ainda to baixando,ruim
,ruim
"Informo que esta última versão não roda no Galaxy Note 2, instalo o programa no celular e os mapas no cartão SD. Simplesmente não roda e dá a seguinte mensagem de erro: ""net.osmand parou"". Nas versões anteriores isso não acontecia, transferi o programa para o cartão SD e funcionava direitinho. Grato pela atenção,  Marcos Silva",ruim
"No meu Xperia j não aparece o nome das ruas, apenas as estradas ;/",ruim
"Não vale o preço, aplicativo muito limitado para se cobrar algo por isso, há diversos aplicativos gratuitos que funcionam melhor, única vantagem desse seria usar no Android auto, porém o período de teste é pequeno",ruim
"Comprei por pensar que seria melhor, mas somente encontrei um monte de bugs, principalmente com o Android Auto. Decepção total, não comprem.",ruim
"Quando usando no Android auto, poderia ter a sinalização de limite de velocidade da via assim como seus concorrentes nesse aspecto. Outras informações importantes são omitidas na tela do veículo. Infelizmente esses pontos para mim fazem muita falta. Ressalto que essa sinalização que faço é para o uso com o Android Auto.",ruim
"Não dá para usar de forma profissional, porque não aceita digitar o número do endereço e manda só para a rua, mas é promissor, daqui uns tempos instalo novamente para ver se corrigiram o app",ruim
"Confuso na imagem do mapa, e reverte para as cores originais mesmo depois de escolher outras. Indicações no quadro são razoáveis mas as do percurso são difíceis de percecionar no momento de conduzir. pesado para o telemóvel e na construção do próprio mapa",ruim
Não funcionou no meu celular,ruim
"Aplicativo muito limitado, você faz as pesquisas de endereço e o Aplicativo sugere outros endereços fora do seu destino, então deixou muito a desejar nesse quesito de buscas.",ruim
"Antigamente funcionava nem, mas de uns tempos para cá está muito pesado e demorado para gerar as rotas, se comparado a concorrentes como o here wego. Esquenta muito o celular e trava com frequência. Galaxy A52s com Android 14. Outra questão é que a interface de entrada de destino parece defasada,pouco funcional. Infelizmente acho que vou acabar desistindo desse app.",ruim
O problema no aplicativo é a impossibilidade de escolher a rota. Diferente de outros que ao clicar no mapa a rota já é mudada para a escolhida. Também não há comando de voz.,ruim
Poderia ser melhor se tivesse mais os RADARES de velocidade!,ruim
"Acabei de baixar. O mapa de sp esta demorando uma eternidade pra baixar e estou usanso Wi-Fi. Testarei depois , se for bam msm , aumento as estrelas",ruim
"Bom serviço de mapas, só tem problema quando é instalado no cartão sd , fica bugado",ruim
"Precisa aperfeiçoamento na localização e nomear as localidades. Pois não tem nomes de ruas e comparado a outros os nomes são diferentes. No meu caso e onde vivo. Teresina, Piauí.",ruim
I had to uninstall and unsubscribe. the radars do not work in any type of configuration in android head unit. (tive que desinstalar e cancelar a assinatura. os radares não funcionam em nenhum tipo de configuração na multimidia Android.),ruim
Carece baixar os mapas... Melhorem isso‼️,ruim
"Mapa muito bom, mas precisa atualizar da cidade Santarém-Pará, ruas e lugares desatualizado",ruim
"Ultimamente não tem funcionado direito, trava e fecha o aplicativo.",ruim
Sem mapas híbridos,ruim
"After the last update, the route planning is unusable for me, the start and end icon clogger the whole map screen, there should be a option to deactivate them",ruim
Péssimo de lento,ruim
"Bom, navegação simples,por voz não funçiona !",ruim
"Não da para ficar baixando mapas o tempo todo, e só se você quiser ou precisar é que deveríamos baixar os mapas. Seja online Full time e ganharão meu respeito e dedicação constantes.",ruim
Como faço pra ativar a notificação para radar. Já ativei no menu mais não funciona e não mostra os radares.,ruim
Bom mas muita coisa a melhorar. Falta melhorar muito a pesquisa. Essa não é nada intuitiva. Falta pgto com cartão de débito ou boleto. Faltam também muitas estradas de interior. Na pesquisa abaixo as perguntas não permitem chegar no centro da questão pois nenhuma resposta representa alguma verdade. Perguntas ruins. Só pra encher o ego do aplicativo.,ruim
Perde constantemente o sinal de GPS nunca consigo fazer uma viagem sem ter que parar várias vezes,ruim
"Bastante funcionalidades. Mas não consigo baixar os mapas, o app fecha continuamente.",ruim
"Nao gostei deste app porque ele muita das vezes nao acha ou demora de mais 
pra localizar as ruas Ele é muito ruim pra localizaçao atual tambem ,muitas 
das vezes ele nao acha ou demora de mais pra achar a posiçao atual e 
calcular a rota",ruim
Crasha bastantes vezes e quase sempre não funciona ...,ruim
O App travou várias vezes,ruim
Para funcionar o mapa offline precisa ter espaço na memória no meu g2 mesmo estalando não funcionou perfeitamente .,ruim
"Em busca por endereço, tento inserir o número do local e não fixa o número.  Se melhorar dou mais estrelas.",ruim
"Informo que esta última versão não roda no Galaxy Note 2, instalo o programa no celular e os mapas no cartão SD. Simplesmente não roda e dá a seguinte mensagem de erro: ""net.osmand parou"". Nas versões anteriores isso não acontecia, transferi o programa para o cartão SD e funcionava direitinho. Grato pela atenção,  Marcos Silva",ruim
Parece ser maravilhoso,ruim
Desatualizado,ruim
"A pesquisa de endereços poderia ser reduzida a um único campo. Lento a calcular rotas. Péssimo para rotas de longa distância. Instruções faladas em português muito más, diz-se ""rotunda"" e não ""rotatória""! No entanto tem alguns aspectos positivos, mas para já estou arrependido de ter gasto dinheiro nesta aplicação.",ruim
The countrys in shorts maps will be great,ruim
"Por usar mapas do OpenStreetMap, tem opções melhores.",ruim
Map rendering is not fluid.,ruim
Ainda vou experimentar...,ruim
Se eu gostar vou aumentar mais estrelas,ruim
Mas não gostei não encontrei a opção português,ruim
Ele e muito bom....estao de parabems!!!!!,ruim
Faltam ruas em minha cidade.,ruim
NÃO GOSTEIII,ruim
"Demora muinto 
Pra baixar",ruim
"Seria o melhor se não fosse o irritante fato de aparecer pontos de interesse por padrão, não tendo como configurar, e nome de estabelecimentos se misturando com ruas.",ruim
"Aparentemente o app é bom, mas não consigo deixá-lo em português.",ruim
É meio que bosta! !!,ruim
Legal e bom m,ruim
Uma porcaria,ruim
"É um bom aplicativo mas por mostrar muitas informações, algumas desnecessárias que poderia ser ativadas manualmente e não dá pra desativar, o torna poluído ao visualizar os mapas. Um exemplo são as linhas de ônibus que são mostrados dentro de uma faixa vermelha em ruas, avenidas... mas quando você busca ver qual passa em um ponto de ônibus específico não há informação. Os trajetos nem sempre estão corretos ou são a melhor opção, ainda mais se tiver transporte público para ser usado.",neutro
"Tem rodovias que não aparece no mapa, mesmo sendo uma rodovia que já existe há muitos anos! Uma distância de 50 km por exemplo, o mapa sugeriu um trajeto maior, aumentando mais de 35km. As atualizações não estão acompanhando as modificações de rodovias. Apenas uns bugs e outras funções de estilos visuais.",neutro
"Eu gosto do site do Open Street Maps porque mostra as comunidades do RJ (por razões de segurança), aqui é igual ao site. Mas infelizmente não sei porque não mostra os pontos de ônibus mesmo estando configurado.",neutro
Interface ok. Navegacao funcionou bem. Fez o trajeto mais adequado. Achei ruim que nao apareceu nenhum radar dos diversos que passei. A primeira funcao mais importante eh a navegacao. Isso funcionou bem. A segunda mais importante eh radar que no brasil a maioria eh mal sinalizado e com velocidades incompativeis com a velocidade natural de vias rodoviarias em um pais continental.,neutro
"A APP até que é boa! Tem boas funções,Mas por exemplo: os restantes na praia de Monte gordo estão todos trocados,e fora da localização correta, esse é só um dos erros que eu identifiquei.como por exemplo; por de trás no meu local de trabalho há uma estrada que nunca existiu, é um pomar de árvores de fruto. Isto não é uma crítica destrutiva,mas construtiva,para vocês melhorarem o vosso trabalho. 👍",neutro
"A App e muito boa necessitando de alguns aperfeicoamentos, como por exemplo a voz que so aparece no inicio da viagem. O pior de tudo esta na desactualizacao dos mapas. A certa altura manda-nos ir na contra-mao. Se os mapas atualizarem darei 5 estrelas sem problema.",neutro
"O meu melhor amigo para criar rotas de viagem. Muito versátil e faz tudo o que promete. Mas a nível de navegação GPS tem muito a melhorar, as vezes tenho de fechar a voltar a abrir porque a rota fica invisível, não faz recalcular rota, manda por caminhos sem sentido... Por isso as 3 estrelas. Mas a nível de criar carreiras e seguir essas carreiras criadas, para a minha função, que trabalho na rodoviária, é sem dúvida o meu melhor aliado",neutro
Boa aplicação mas após atualização ficou com o acompanhamento em tempo real mais lento. Acho que o fabricante da aplicação tem que rever o funcionamento se ficou mais pesado ou se utiliza mais processador porque de há um ano para cá ficou a reagir muito mais lento.,neutro
"Razoável,baixei na central multimídia Android e trajeto o indicador do veículo não fica de cima para baixo fica de lado,por isso dando essa avaliação. Já fui nas configurações e nada resolveu. Eu gostei do app, resolva isso aí ,se não vou ter que desinstalar.",neutro
"É um mapa lindo, mas quando chega uma bifurcação, ele não destaca a entrada, assim a gente pode passar da entrada. E se é uma rodovia? Dá uma dor de cabeça para voltar ou contornar, ou se arriscar na contramão o que é um perigo.",neutro
"Andar a pé com precisão diminuida. Após activar destino, dificil desligar voz. Tive de desligar o Telemóvel para cessar a voz de orientação.",neutro
Eu clico no endereço do whatsapp e o app simplesmente não consegue abrir o endereço. Colei manualmente e mesmo assim não funcionou.,neutro
"De cara a minha rua não existe no mapa. Analisando bem, esse app tras informações resumidas, o que para guiar as pessoas por locais desconhecidos não adianta.",neutro
Três estrelas só não tenho como dar mais pois o app precisa ficar girando com as mão ao invés de ir para vertical fica em horizontal assim atrapalha a visualização.,neutro
"Deveria ter um tutorial explicando melhor como funciona cada opção do mapa, ou ter opções pré definidas. mas o app em ótimo quando se está em locais offline",neutro
seria legal ter como atualizar os mapas o mapa daqui de Caruaru esta muito atrasado deem um jeito de atualizar que eu darei cinco estrelas por que o resto no App esta muito bom!!!!,neutro
para usar no Veículo com Android auto tem que pagar,neutro
"Muito bom. Navegação em tempo real. Infelizmente, não reconhece numeração do destino. Só consigo inserir o nome do logradouro. No mais. Muito bom .",neutro
"Ele é bom, mas no meu caso fez muita falta o Mapa por Satélite, porque moro no interior e tem entradas que o Mapa não mostra e se tivesse via satélite daria pra indentificar já que moro no local..",neutro
Gps muito bom! Porém na minha multimídia não consigo usar instruções por voz em tts. E faltou visualização em 3d,neutro
"Mediano mas fiável. De todo modo, empurram a versão paga a todo momento.",neutro
"O app precisa de uma nova interface gráfica urgente, a atual é poluida e lenta",neutro
"O apk é bom mais cunpri o que promete mais a última atualização ele ficou travando muito,porfavor melhora isso",neutro
"O aplicativo e bom, mas as vezes certas moradas e difícil inserir na procura. So se selecionar no mapa.",neutro
"Não tem opção de rota, não tem navegação 3d.",neutro
"Seria muito bom se a numeração no Brasil funcionasse somos um país com 200 milhões de habitantes. Estou procurando uma rua conhecida no centro do Rio. Ele encontra a rua, mas os números estão todos errados faltando número. A cidade do rio de janeiro tem 6.000.000 de habitantes o endereço esta faltando numero para 5.500.000 habitantes .... Procura o endereço você ai",neutro
"Ainda não testei, quando o fizer volto para aumentar ou diminuir estrelas.",neutro
Me parece ser bom dou 3;estrelas por agora assim que testar a aplicação e for bom dou 5 estrelas e dou meus parabéns aos criadores desta aplicação um abraço para todos.,neutro
Sentindo falta do transito em tempo real!,neutro
Comprei a licença da versão pro e não atualiza. Porquê?,neutro
"Estou tentando usar, não consigo achar nenhuma rua ou avenida em São Paulo. Estou em Fortaleza, CE. Já baixei os mapas do Ceará, Pernambuco, Bahia, Minas Gerais e São Paulo. O que fazer?",neutro
"Não entendo, coloco o número do endereço mas só aparece esquina com outra rua. Como vou chegar aí ponto exato ?",neutro
Estou testando.. vamos ver Se funcionar blz e o valor do pago for atrativo quem sabe...,neutro
"Estou a experimentar este GPS, não encontro aqui o Restaurante Ninho de Hamburgo em Alverca do Ribatejo",neutro
A pesquisa não funciona muito bem.,neutro
só 3 estrela porque não consegui atualizar a rota dele 😕,neutro
"se manter, para continuar.",neutro
"I love the app, but recently it is always crashing with GPX routes. Please solve this. Already send an email.",neutro
Bom,neutro
Unfortunately it only gives one route option instead of showing the several options available.,neutro
Boa,neutro
Pouco intuitiva,neutro
The app is crashing when trying to access the download map section.,neutro
Demora muito a conectar e no local de colocar o número do endereço não aceita. Como sair ?,neutro
"Só é possível traçar rotas de carro, bicicleta e a pé.",neutro
Falta a visão 3D do mapa e a busca por numeração não funciona.,neutro
"Bom app pra quando ñ se tem Internet. A função de navegação precisa melhorar. O aplicativo em algumas situações ñ indica uma boa rota,  inclui estradas rurais ao invés de rodovias seguras e insiste muito no retorno pra essa rota indesejada.  O roteamento precisa ser mais inteligente.",neutro
"Gostaria de obter imagens de satelite de uma determinada área, no entanto, não estou encontrando como baixar. Alguém poderia de ajudar?",neutro
Gostei muito bom,neutro
"O gerenciamento dos mapas baxados não é simples, os mapas sao bem pesados",neutro
Não está mais salvando os mapas no cartão SD,neutro
Não consigo polo a falar em PT,neutro
"A digitação de procura por endereços poderia melhorar, e muito. Digita o endereço e depois é preciso clicar em voltar, não existe um 'Enter'.",neutro
O app faz o que promete mas os mapas OSM são imprecisos e incompletos. Seria bom se este e outros apps que usam OSM pudessem utilizar mapas para Garmim. Aí poderíamos usar os mapas Tracksource.,neutro
Gostei,neutro
E issso,neutro
Responde bem,neutro
"Gostei do aplicativo, mas não tem todos os endereços. Tem ruas sem nome no mapa e não aparecem todos os nomes das ruas na busca.",neutro
Se for bom eu dou mais 2....... ; ),neutro
ótimo aplicativo. Não procura por números de endereço: falha importante,neutro
"e ainda por cima não pode minimizar o app se não o download para.. E pra voltar, tem q recomeçar do zero.. Até agora n baixei nada e só dpois de baixar e usar q eu vou ver se vale 5 estrelas pelo menos o funcionamento. Meu roteador gera 20mb de net, não é net ruim o meu problema",neutro
Não consegui por a voz em português e só mostra as principais ruas não mostra todas como o IGO... fora isso perfeito!,neutro
Is it possible to search the number of the building in the address? Or the address search is limited to the street name?,neutro
é bem bom tem uns negócios diferentes mais da pra entender',neutro
Ate que é bom por ser gratuito.,neutro
São bons para viajar encontrar lugares,neutro
Nao baixei ainda,neutro
